Links,Video_title,Video pub­lish time,Likes,Views,Watch time (hours),Subscribers,Impressions,Impressions-click-through rate (%)
23s4BU5m3vk,SAYONEE - Arijit Singh |Electronic tabla cover|Check description for karaoke with tabla,"Nov 3, 2020",15,168,3.8131,0,2611,4.75
2GN2j_cWuvw,Automatic star-delta starter ||DIY|| with Circuit diagram,"Mar 20, 2019",15,35,0.4704,1,1641,1.28
Cf0d2hSxbxE,Tumi Sondharo Meghomala Harmonium Cover | Achena Uttam | Robin2bin,"Sep 14, 2022",15,182,4.8554,1,3064,2.87
aFNQtVd_9Sw,Coffin Dance Astronomia Indian classical version (HARMONIUM AND TABLA)|Presented from team Robin2bin,"Sep 25, 2020",15,167,3.3894,1,2327,5.03
5k6EoOxteVc,Madox square tour blog kolkata || Durga puja 2019|| 2nd blog,"Oct 3, 2019",14,257,4.0453,2,2705,4.55
7y-C7f6TTxU,গঙ্গা সিন্ধু নর্মদা | নজরুলগীতি | Piano Cover with tutorial | Robin2bin,"May 23, 2021",14,188,6.1911,0,1574,4.89
djCux9GWRnw,Mudiali tour Blog (Night View) || Durga puja 2019 || 5th Blog,"Oct 7, 2019",14,60,0.8311,0,1499,1.87
hZvkEBJ3ZOw,BURJKHALIFA INSTRUMENTAL (COPYRIGHT FREE KARAOKE)|LAXMMI BOMB|,"Oct 19, 2020",14,419,5.1892,2,4147,8.15
omnKMUnD3yc,Md. Ali Park tour blog || Durga puja 2019 || 4th blog,"Oct 6, 2019",14,86,1.3671,1,2183,1.69
pTXi8l8zX-o,Oh Saiyaan - Arijit Singh Tabla Cover by Robin2bin| The Power | Raj Pandit Salim Suleman,"Jan 14, 2021",14,129,3.5367,-1,2826,2.72
rhP8UtiGuqM,Laal Ishq - Arijit Singh| tubin version| Get the Chorous free karaoke with tabla from description,"Nov 22, 2020",14,341,6.2701,2,3511,7.6
wJFm5v24fBw,Programming counters using IC (basic),"Nov 4, 2018",14,41,1.0447,0,992,2.52
R2FiRwzNfv0,Concept and designing even no.s counter circuit with practical demonstration,"Oct 14, 2018",13,85,2.5109,1,2844,2.32
kuoOZdQome4,Kiston unplugged karaoke | Roohi | Rajkummar – Janhvi – Varun | Jubin Nautiyal | Robin2bin,"Mar 10, 2021",13,491,7.0892,0,4656,8.4
vT3sPuNi474,"Dil Melt Karda karaoke/Instrumental unplugged | Haseen Dillruba |Taapsee P,Vikrant M| Amit Trivedi","Jun 15, 2021",13,319,4.2928,2,2884,8.32
xH4S99xm8rA,Ami Jamini Tumi Soshi He karaoke harmonium cover | Antony Firingee| Manna Dey,"Nov 24, 2021",13,270,9.5363,0,2162,4.67
5Wv-WXlv_Rg,Making Counter circuits using microcontrollers (Arduino with Code) and verification practically,"Oct 7, 2018",12,29,0.6455,0,1059,1.51
SRDeHcR1jxg,Singhi park pandal tour blog || Durga puja 2019 || 8th blog,"Oct 10, 2019",12,47,0.8696,0,1188,2.78
biUgbHb2sxM,Meri Tum Ho (LUDO) - INSTRUMENTAL(TABLA EDITION) WITHOUT VOCAL|,"Nov 8, 2020",12,129,1.7535,0,1328,6.63
xW43c-_Fe38,JUDAIYAAN Instrumental (COPYRIGHT FREE KARAOKE)|Darshan Raval and Shreya Ghosal|,"Oct 18, 2020",12,103,1.6642,2,1874,4.27
3Ie_m_E01rk,Dhak Baja Kasor Baja |TABLA EDITION| Robin2bin version Durga puja special 2020,"Oct 16, 2020",11,103,3.2759,0,2005,2.79
430a9JSS3Ps,Panghat karaoke (Copyright free) – Roohi | Rajkummar Janhvi Varun | Beats recreated | Desi mix,"Feb 24, 2021",11,259,2.023,0,1815,8.26
5ZzebGGFQ7A,Deshopriyo park tour blog ||Durga puja 2019 || 6th Blog,"Oct 8, 2019",11,51,0.7869,0,1136,1.94
8lINM8QuhLY,Concept and desinging demultiplexers with practical analysis,"Apr 29, 2018",11,60,1.4279,0,1067,3.19
T_v2SU2kvXo,Hawayein Piano and tabla mix| Ft. _thetablaguy,"Dec 28, 2021",11,135,5.4308,0,1164,4.98
ZHKjFHeL2LY,Concept and desinging asynchronous counters with practical demonstration,"May 13, 2018",11,29,0.2989,0,854,1.87
o5T--eRSU4M,Dhak Baja Kasor Baja |TABLA EDITION | INSTRUMENTAL | Robin2bin Version Durga Puja special,"Oct 16, 2020",11,139,1.4714,0,3103,3.25
rQCI4ZNrMiE,Designing Multiplexers with practical tests,"Mar 10, 2018",11,14,0.142,0,728,1.24
w4HZunInrEw,Kesaria Piano cover | Arijit Singh | Bhramastra | Robin2bin,"Jul 29, 2022",11,110,1.9361,0,1306,4.13
2zrGJ5Gy6yo,Labb Par Aaye |Tabla and Synth cover| Robin2bin and Taalsadhana-tablabeats,"Jul 5, 2021",10,78,1.9095,0,1208,2.9
Ho6QBBWOOLk,How to make a running LED (light work) at home with Arduino (in Hindi),"Nov 8, 2017",10,40,0.7794,0,995,1.61
OCB8XjFx9Mw,Adheko Ghume | Piano Cover of Shaan version | Rabindrajayanti 2022,"May 8, 2022",10,71,1.8153,0,851,4.58
d6wmDysUNjs,Raataan Lambiyan karaoke piano and tabla mix| Shershaah| Jubin N | Ultimate Piano Cover,"Sep 17, 2021",10,184,4.433,-1,1768,6.11
6W58QUmlrk8,Monostable Multivibrator operation with 555 timer and Arduino UNO,"Dec 1, 2017",9,252,6.6259,0,3521,2.61
EWE09aylPlI,Bokul bagan (bhowanipur)  pandal tour || Durga puja 2019 ||,"Oct 13, 2019",9,38,0.4855,0,1390,2.09
Vq22cK7DnIE,Pagglait title track Karaoke | Drumpad Cover| Arijit Singh |,"Mar 17, 2021",9,115,2.1994,0,1951,4.56
W7RYCOvN6Dg,How to print hexadecimal numbers in 7 segement display,"Dec 3, 2017",9,59,1.1586,0,827,2.3
miJfYHp6MZk,Naam - Tulsi Kumar Millind Gaba|REVIEW KARAOKE AND 8D SONG|Download karaoke from link in description,"Jul 27, 2020",9,72,0.7934,-1,5486,0.95
rF3U6XySGFk,Bagbajar pandal video cover || Durga puja 2019,"Oct 11, 2019",9,21,0.3364,0,1158,0.78
wleOOlkHkb4,Teri Aankhon Mein instrumental/karaoke| Darshan R| Original karaoke in description,"Oct 7, 2020",9,227,2.4992,-1,2561,6.68
9Eq1vtFAjXs,"Is Qadar - KARAOKE (Copyright free) | Tulsi Kumar, Darshan Raval | Dhol and drumpad cover","Apr 8, 2021",8,99,1.2217,1,1347,4.45
Ek_Pt-mpalA,How to download youtube videos free 🔥🔥LATEST 2023🔥🔥,"Dec 26, 2022",8,169,1.4695,0,1490,6.58
GJkgg_KhiO8,Modhuro nupuro rumu jhumu baje original track karaoke |Anup Ghosal Nazrul Geetii| Free karaoke,"Sep 15, 2020",8,208,4.2167,3,2845,5.1
Gxq6bV5XDQc,Promotional video of Assistant Robin powered by google assistant.  Install it now(NO ROOT),"Dec 31, 2020",8,67,1.3047,1,1179,3.82
KeZyosxEqBw,Chol Choley Jaai | REMAKE VERSION | Arijit Singh Shreya Ghosal Robin2bin | Ei Ami Renu,"Apr 20, 2021",8,76,1.8703,1,1800,2.17
_N8H9u9uVWc,Panghat – Roohi | Rajkummar Janhvi Varun | Beats recreated | Desi mix,"Feb 24, 2021",8,78,1.3188,0,1074,2.89
pc2cRdJvxyU,Radha - Dhvani Bhanushali | Karaoke,"Mar 22, 2021",8,197,2.6157,1,2680,5.37
vm94JyhHWqw,Srivalli Karaoke piano cover| Javed Ali | Pushpa| Instrumental,"Feb 13, 2022",7,128,2.6914,-2,1003,6.28
xdXh5uqoZHQ,Shib mandir pandal video cover || Durga puja 2019,"Oct 10, 2019",7,32,0.4527,0,1450,1.59
8ll8IlObThg,Practice #Shorts Labb Par Aaye,"May 31, 2021",6,86,0.6648,0,2123,1.98
A_beGJq-H98,Rangh Bhareya - DARBAAN KARAOKE | Tabla Cover |,"Nov 25, 2020",6,122,1.9415,-1,1534,5.48
Jf_t2AfhjZo,Tumi Sondhayro meghomala #AchenaUttam Robin2bin,"Sep 14, 2022",6,31,0.1542,0,482,3.11
TCff4op8nqQ,Pal Pal - Ahmad Ahaad Safwi INSTRUMENTAL(COPYRIGHT FREE KARAOKE) ||Download karaoke from description,"Sep 26, 2020",6,75,1.2853,1,1365,4.03
YqgArfHicLM,#pancharatnamstotram #onkeyboard #shorts,"Feb 28, 2021",6,54,0.7484,0,822,3.16
mYy2QBVdCE8,#rabindrajayanti2022 Watch full video on our YouTube channel #Robin2bin #shaan,"May 8, 2022",6,39,0.2779,0,708,2.54
n2SitZqgyyg,My own made Google Alexa wishing Merry Christmas..,"Dec 25, 2020",6,31,0.5522,0,667,2.85
vSEpz1KrSjU,Ekadalia pandal tour blog || Durga puja 2019 || 7th blog,"Oct 9, 2019",6,34,0.543,0,1312,1.37
7LJm5p8AK04,Happy New year 2023 #jollyogymkhana #2023 #newyear2023,"Jan 4, 2023",5,30,0.1159,0,128,3.13
x25uuhtBvpE,Ved Upanishad Darshan | A dedication to Rabindrasangeet | Instrumental version |Manna Dey| Robin2bin,"May 2, 2021",5,97,2.8242,0,1505,1.93
31wpeDQXBj8,Are Dwarpalo (Tabla and piano fusion) Ft. Swasti Mehul Janmashtmi special,"Aug 27, 2021",4,178,4.4493,0,2656,3.2
Kd7vw3yluYo,Jolly O Gymkhana karaoke| Beast | Thalapathy Vijay | Pooja Hegde | Nelson| Anirudh|Robin2bin,"Jan 4, 2023",4,22,0.5475,0,576,1.91
mIKZXmvGUW8,KhushMizaaj - Arijit Singh | DAARBAAN | Tabla Cover | Robin2bin,"Nov 25, 2020",4,35,0.4031,0,1007,2.28
tdpgkpDWIzc,KhushMizaaj - Arijit Singh INSTRUMENTAL | DARBAAN |,"Nov 25, 2020",4,39,0.7004,0,935,2.25
9Uwusd_VHdM,"Dil Hai Deewana KARAOKE | Darshan Raval | Arjun K, Rakul","Apr 17, 2021",3,47,0.5575,0,1287,1.79
H5TT7CxG0Ds,Ghodey Pe Sawaar on flute |Qala|Amit Trivedi|Robin2bin,"Feb 2, 2023",3,70,1.0166,0,2932,1.81
Hnf5-jx5Jf0,Arabic Kuthu - Instrumental cover | Beast | Thalapathy Vijay | Pooja Hegde | Robin2bin,"May 25, 2022",3,53,1.0139,-1,677,3.69
RwUDLXO7Qsc,Happy new year 2023 #2023 #newyear2023,"Dec 31, 2022",3,29,0.191,0,96,4.17
xgjPChLV0Lc,#Balampichkari #HappyHoli #shorts,"Mar 29, 2021",3,36,0.4068,0,733,1.09
EV1syA6tTvk,Happy New Year 2022!!,"Jan 1, 2022",2,34,0.1764,0,567,2.47
hcCw59gD_O8,Practical Week1,,2,55,2.3995,3,8,0
Zs2yOfvFFls,Happy birthday Darshik,,1,2,0.057,0,0,
Zs2yOfvFFls,Happy birthday Darshik,,1,2,0.057,0,0,
